text,label
No alcohol.,patient
"OK, and any recreational drugs like marijuana?",doctor
"Um, no marijuana, but I have used crystal meth in the past.",patient
"OK, and when was the last time that you used crystal meth?",doctor
"Um, six days ago.",patient
"Six days ago, OK, and how often do you use crystal meth?",doctor
"Um, I would say a couple of times a month.",patient
"A couple of times a month, OK. Alright, and for how long have you been using crystal meth?",doctor
Uh for the last seven years.,patient
"Seven years, OK.",doctor
What brings you in here today?,doctor
"Yeah, I've just been feeling breathless and it's getting worse. So I wanted to check it out.",patient
"OK, and when did you first start feeling breathless?",doctor
About two months ago.,patient
"OK, and did it come on about like gradually through time or suddenly just happened?",doctor
"I guess gradually, yeah.",patient
"OK. And, do you feel, uh, how often do you feel breathless?",doctor
"I'd say it's worse when I when I walk more than 50 meters. That's kind of the main like that's kind of the main trigger, just exertion.",patient
"OK, and were you able to walk normally more than 50 meters before two months?",doctor
"Yeah, three months ago I was fine.",patient
OK. And do you have any other symptoms like cough or chest pain?,doctor
"I have a cough sometimes, yeah.",patient
"OK, but nothing like constant?",doctor
No.,patient
"OK, and do you have any wet cough or any productive cough or are you producing like sputum or phlegm?",doctor
"Yeah, I guess I'd say I have this frothy sputum.",patient
"OK, and has your breathlessness been getting any worse at all over the last two months?",doctor
"I would say so, yes.",patient
"OK, and you mentioned like exertion makes it worse, but anything else like going outside or exposure to any chemicals that makes it worse?",doctor
"Uh, I don't think so.",patient
"OK, and how about a positional changes? Does lying flat at all make it worse?",doctor
"I would say so, yes. Yeah, I'm basically gasping for air when I lay down.",patient
"OK, and do you ever find yourself waking up at night in the middle of the night to catch your breath?",doctor
No.,patient
"No, OK. And when do you feel the breathlessness the most? Is it more so during the day or at night?",doctor
I guess it's worse at night because I'm laying down.,patient
"OK. Great and, in terms of how many flights of stairs you can climb before you start feeling breathless, do you have a number?",doctor
I would say like 3/4.,patient
"Three or four steps, OK. And was there anything new that happened in your life recently? Any new medical diagnosis recently? Or any travel that happened before you started having these symptoms?",doctor
"No, nothing like that.",patient
"OK, and prior to two months, have you ever had any similar experiences?",doctor
Prior to 2 months? No.,patient
"OK. And, does anything make it better? Like any positional changes makes the breathlessness go away?",doctor
"I guess when I I'm not laying down or when I'm laying down, I try to add pillows, stack pillows so that it gets better.",patient
"OK, and are you having any other symptoms like sore throat, runny nose, chest pain, dizziness, anything like that?",doctor
No.,patient
OK. Have you recently traveled outside of the country?,doctor
No.,patient
Have you recently had any surgeries?,doctor
"No recent surgeries, no.",patient
"OK, any headache nausea or vomiting?",doctor
"Um, no.",patient
"OK, any fevers or chills or night sweats.",doctor
No.,patient
OK. Do you feel increasingly fatigued throughout the day?,doctor
"Uh, I would say so, yeah.",patient
OK. And any changes in your bowel movements at all?,doctor
No.,patient
"OK, and any chest pain at all within the last two months?",doctor
"No, no chest pain.",patient
"OK. Any swelling in your in your legs, ankles, or in your hands and arms?",doctor
There is some swelling.,patient
"OK, and uh, where do you, where are you getting this swelling?",doctor
Around my legs.,patient
"OK, and how when did you first notice this?",doctor
Around the same time actually two months ago.,patient
OK. Have you noticed any kind of fevers at all?,doctor
No.,patient
OK. Have you been in contact with anyone that has been ill recently?,doctor
No no.,patient
"OK, and have you been coughing up any blood at all?",doctor
No.,patient
"OK, any weight loss?",doctor
No.,patient
Any night sweats or chills?,doctor
No.,patient
"OK, apart from the breathlessness when laying down, any other issues with your sleep?",doctor
No.,patient
Any changes in your appetite?,doctor
Nope.,patient
"OK, have you had any recent infections like a cold at all?",doctor
No.,patient
"OK, any exposure to tuberculosis in the past?",doctor
Not that I know of.,patient
"OK, any exposure to fumes or dust within your home or work environment?",doctor
No.,patient
"OK, any animals or pets in the house?",doctor
"No, no.",patient
"OK, and in terms of your past medical history, has anyone told you that you have anything like COPD or any cardiovascular issues like high blood pressure, cholesterol?",doctor
"Um so, yeah, so I have high blood pressure, diabetes and high cholesterol.",patient
"OK, and do you take any medications for this?",doctor
"Yep, so I take aspirin, ramipril and simvastatin.",patient
"OK, and have you ever had any chest pain or heart attack in the past?",doctor
"Yeah, actually I had a heart attack four years ago.",patient
"OK, and do you remember what they did for your heart attack?",doctor
Something like a stent or something.,patient
"OK, and since then you've been on these medications?",doctor
Yes.,patient
"OK, and after they managed your heart attack, have you ever had similar symptoms to when you had your heart attack?",doctor
"No, no.",patient
nothing like that? OK. Do you have any allergies to any medications?,doctor
No.,patient
Any environmental allergies?,doctor
No.,patient
"OK, and have you previously had any surgeries in the past?",doctor
"Um, I guess the stenting.",patient
"Just the stenting? And apart from that, have you had any other previous hospitalizations?",doctor
No.,patient
"OK, and any family history of any cancers or heart attacks?",doctor
"Um, my father died of a heart attack when he was 60.",patient
OK. And currently do you work at all?,doctor
"I do, um, I work as a cashier.",patient
OK. And has the shortness of breath been affecting your daily routine at home or at work at all?,doctor
"Yeah, I would say so. It's been hard to make it to work and then standing around all day or if I have to go help out with something and exert myself too much, I get short of breath.",patient
"OK. And at home, do you currently live with anyone or do you live by yourself?",doctor
I live by myself.,patient
"OK, and do you live in an apartment or house?",doctor
I live in an apartment.,patient
"OK, and are there any exposures like dust or mold or asbestos in your home environment?",doctor
No.,patient
OK. And currently do you smoke?,doctor
Not right now. I used to smoke. I used to smoke 10 a day for like 40 years.,patient
"OK, and do you use any recreational drugs like marijuana?",doctor
No.,patient
OK. Any alcohol?,doctor
No.,patient
"OK. And in terms of your daily routine, do you feel that you get 3 meals a day, a well balanced diet?",doctor
I wouldn't say well balanced. I'm trying to eat healthier but doesn't always happen.,patient
"OK, and how about exercise? Do you find that your exercise levels or activity levels have gone down in the last two months?",doctor
Yes.,patient
"OK. Alright, is there any other questions or concerns that you have or something I may have missed to ask you today?",doctor
"No, I don't think so.",patient
"OK, so based on what we talked about from your swelling as well as breathlessness while laying down and your past history of a heart attack and high cholesterol, it may be likely with the medications you are on as well as your history, that you might be having what's called congestive heart failure. So we will need to do further investigations to determine if that is what it is and if we need to get you on something like lasix or a diuretic to get rid of some of the fluid that's building up in your body, which may be caused by heart failure. So we'll do some investigations and then go from there.",doctor
What brings you here today?,doctor
I'm just having this really sharp pain in my chest and I'm scared. I think I'm having a heart attack.,patient
"Oh wow, yeah um that must be really scary. When did this, when did this pain start?",doctor
So about 3 days ago.,patient
"Three days ago, OK, and where exactly in your chest do you feel it?",doctor
"It's kind of right here, right over my heart I think, that's where it's the worst.",patient
"OK, and is it, what kind of pain is it? Is it more like a dull pressure pain, or is it a sharp pain? How would you describe it?",doctor
I would say it's a sharp pain.,patient
"A sharp pain, OK. Um, so it started three days ago, has it been coming and going or has it been constant?",doctor
It just lasts for a few seconds and then it goes away.,patient
"OK, does the pain come on when you're doing any activities or When does the pain usually come on?",doctor
"Oh, it's usually worse when I'm coughing or laying down. Yeah, yeah.",patient
"OK, and um, does it improve with any positional changes at all, or anything that you do that does it help?",doctor
"When I when I lean forward, it actually does get better. I think about it, yeah.",patient
"OK, and has this ever happened to you before?",doctor
"No, no it hasn't.",patient
"OK and on a scale of 1 to 10, one being the least amount of pain felt and 10 being the worst, how much would you rate it?",doctor
I would say a 6 out of 10.,patient
"OK, and does the pain move anywhere in your chest or does it stay in the same spot?",doctor
"Yeah, I think it kind of goes to my neck sometimes.",patient
"OK, and do you have any other symptoms, like do you have any shortness of breath, dizziness, anything like that?",doctor
"No, I don't.",patient
OK any any palpitations?,doctor
No.,patient
"OK. Alright, and other than that, have you been having any other symptoms at all besides the pain?",doctor
"No, no, nothing else, that's it, just have these sharp episodes of pain that last a couple of seconds.",patient
"OK, um have you have you tried like any medications that has helped the pain?",doctor
"Yeah, I took some um, I took some Tylenol and that did help.",patient
OK.,doctor
I took it once yesterday.,patient
"Alright, um, any recent injuries to the area like did you have any falls or anything like that?",doctor
"No, no I haven't.",patient
"Any headaches, nausea or vomiting, fevers, or chills? Any of those symptoms?",doctor
No.,patient
"OK, any cough, runny nose, any viral symptoms?",doctor
"No, well not right now, but I did have a, I did have a flu last week. I had a fever, had a runny nose. I did have a bit of a cough and I was feeling super tired, but not anymore. I'm OK now.",patient
"OK, and have you at all had any dizziness or have you fainted at all?",doctor
No.,patient
OK. Have you been noticing any kind of weakness or numbness?,doctor
No.,patient
"No, OK, and in terms of your past medical history, do you have any medical conditions like diabetes, high blood pressure, any other diagnosis?",doctor
No. I'm a pretty healthy 25 year old.,patient
"OK. Um, do you take any medications?",doctor
I sometimes take Tylenol.,patient
"OK, and any allergies at all?",doctor
No.,patient
"OK, and any previous surgeries?",doctor
"No no, no surgeries.",patient
Do you have any family history of any heart conditions or any cancers or anything like that?,doctor
"Yeah, my father, he he had a heart attack two weeks ago and he and he passed away. And I'm worried I am having a heart attack too.",patient
It was just two weeks ago?,doctor
Yeah.,patient
"I'm so sorry to hear that. Yeah, it must be really difficult time for you right now. OK, so you're worried you might be having a heart attack as well?",doctor
Yeah.,patient
"OK, so we can definitely do some tests and see what was going on. I just have a few more questions and then I'll just get to some of the management and what we will be doing for you in the future. So currently right now do you work at all?",doctor
"No, I'm a student. I, well as a part time job, I do work as a post man.",patient
"OK, and where are you a student? What do you do?",doctor
I'm studying engineering at Western.,patient
"Alright, and currently where do you live? Do you live in student housing, an apartment or a house?",doctor
"I live with my parents, well my mom now, in a house.",patient
"Right, and you drink at all any alcohol?",doctor
"I drink occasionally, maybe one or two drinks on the weekends.",patient
"OK, and any recreational drug use like marijuana or cocaine?",doctor
No.,patient
And do you smoke?,doctor
No.,patient
"Alright, so those are all the questions we had for you today. And yeah, it must be really difficult and scary for you right now, but we'll make sure to get to the bottom of this to see what's going on. So what we can do is get you an ECG to see how your heart is functioning and then see getting the blood work if we need it for the future. But yeah, right now I would say try not to worry too much about it right now and see um what some of those tests come back.",doctor
Thank you.,patient
"So yeah, you're welcome.",doctor
It sounds like that you're experiencing some chest pain.,doctor
"Yeah, so this chest pain has just been coming on for the last couple of weeks now.",patient
"OK, uhm. So 2 weeks, and can you tell me kind of where you're feeling that pain?",doctor
"Um yeah, I'm I'm just feeling this chest discomfort, sort of over on the left side.",patient
"The left side, OK. Does does it stay just in one spot or does it kind of spread anywhere else?",doctor
"No, I don't really feel it anywhere else. Yeah, I just feel it in that one spot on the left side.",patient
"OK, does it feel dull and achy, or does it feel more sharp?",doctor
It feels pretty sharp.,patient
"OK, and is it constant like on all the time, or do you feel like it kind of comes and goes?",doctor
It comes and goes. I would say I it might last for um 20-30 minutes at a time and then it goes away.,patient
"OK, and over the last two weeks since you said it started, has it gotten any worse?",doctor
"Uh, no. It's been about the same.",patient
"About the same, OK, and has it gotten more frequent, these like 20 to 30 minute episodes?",doctor
"No, it's happened about two or three times during the 2 weeks.",patient
"And if you were to rate it on a scale of zero to 10, zero being no pain and 10 being like the worst pain you've ever felt, where would it fall?",doctor
I would say a 4 out of 10.,patient
"OK. Uh, can you think of anything that that you've done differently recently that could have brought it on or is there any kind of common factor between the times that you had the pain?",doctor
"Um,  I don't know I've separated from my husband 2 two years ago which has been really stressful but other than that I mean I can't really think of any changes to my health or anything like that recently.",patient
"OK, but do you feel like you have been more stressed out in general?",doctor
"Uh, yeah the last couple of years have been a lot more stressful because of those issues in my personal life.",patient
"OK, I'm sorry to hear that, but I'm glad that you're coming in and we can hopefully get to the bottom of this. Not that I think that's necessarily the source of your pain, and we definitely want to look into everything, but it is really helpful to know that. So when you've had these episodes, have you taken anything to help with the pain or done anything that's that you felt it made it go away?",doctor
"Uhm, I've tried some Advil, some Tylenol and actually some Tums as well, and it hasn't really helped.",patient
"OK, do you think it's worse when you're moving around, if you're if you're kind of doing more exercise, or is it kind of just the same no matter what you're doing when you get the episodes?",doctor
"Oh, it actually I I feel like it happens most of the time when I'm either at work or or driving.",patient
"OK. OK, and before this two week period, have you ever had anything like this before?",doctor
"No, I haven't had anything like this happen before.",patient
Do you have any chronic conditions that you see your family doctor for?,doctor
"No, previously healthy.",patient
"And just jumping back to these pain episodes when you have them, do you experience anything else? Do you get any nausea or vomiting?",doctor
No.,patient
"OK, do you get any, do you have any difficulty breathing during these times?",doctor
"No, I haven't.",patient
"OK, and have you noticed any fevers?",doctor
"Uh, no, no fevers.",patient
"OK, have you been in contact with anyone that's been sick recently?",doctor
"Uhm, no, I haven't.",patient
And have you traveled anywhere outside of Canada?,doctor
"No, I've been home.",patient
"OK so you have, you said you have been previously healthy, nothing that you've been seeing your family doctor for on a regular basis. Do you take any medications?",doctor
"Uhm, I do not, no medications, just the Tylenol and Advil I tried for the pain.",patient
"OK, do you have any allergies?",doctor
No allergies.,patient
And is there any history of heart problems in your family?,doctor
"Yeah, my father had a heart attack when he was 60 just last year and it's actually one of the reasons what concerns me about the chest pain that I thought I was having.",patient
"For sure, it always feels very concerning when when you have these these symptoms and that and you know people in your life that have had issues like similar issues in the past. I don't know that this is related to that. I I personally don't think so at this point, but we're definitely going to do everything to look into it and and rule out something that would be scary like that. I'm going to ask you few more questions about your lifestyle in general. Do you smoke cigarettes?",doctor
"Yeah, I smoke about half a pack to a pack per day. I've been trying to quit and I was smoking more one pack per day, but so it is down a little bit, but, It's still something I'm trying to work on.",patient
"Congratulations, that's a really tough thing to do so, good for you. That's that's really exciting. Step in the right direction, right? Do you drink alcohol?",doctor
"Um, I do, but, uh, I'll have maybe one or two glasses of wine on the weekend.",patient
Do you use any other substances?,doctor
Uh no.,patient
"I know that you said you don't see your family doctor for anything regularly, but I just want to check a couple of specific things like have you ever been told you have high blood pressure?",doctor
"No, I've never been told I've I've had high blood pressure.",patient
And have you ever been told you have like high cholesterol?,doctor
"I haven't, but I've actually never been tested either.",patient
"OK, and do you exercise regularly?",doctor
"Yeah, actually, I'll either do some running or cycling, probably three or four days per week and I haven't had any chest pain or or problems exercising.",patient
"OK, that's good to hear. And have you ever had problems with heartburn?",doctor
"Uh. I don't think so, no.",patient
"OK. OK, so just to kind of summarize what we've talked about, over the last two weeks, you started having these 20 to 30 minute episodes of chest pain that's on the left side, it feels more sharp, is that correct?",doctor
Yeah.,patient
"And it's kind of constant when it comes on, there's nothing really that makes it better or worse, it just kind of goes away on its own after half an hour or so, it has kind of stayed the same over over the last two weeks, hasn't really gotten worse or better, it hasn't gone away either?",doctor
"Right, yeah exactly.",patient
"You never had anything like that before and you have been, it sounds like experiencing some stress in your life, it definitely can play into that as well. OK, is there anything else that you wanted to to tell me about that I didn't ask you today?",doctor
"Uh, no, I think that's um, yeah, I think that's all that I wanted to talk about today.",patient
"OK, so what I'm going to do is bring all this information to your family doctor and we can come back together and talk to you about the next steps.",doctor
"Awesome, thank you.",patient
Thanks for coming in.,doctor
"Hey Doc, I'm a 45 year old man coming in, I'm worried there's a little old rash on my leg that I'm getting nervous about.",patient
"Hi, so you I understand you have a rash on your leg.",doctor
"I don't really know what I would call it. That's what I told the nurse when I came in, but it more hurts than anything.",patient
"OK, uh, how long is this been going on for?",doctor
"Ah, it's been it's been looking weird for about a week, but only yes, it started hurting yesterday and started looking strange and I just wanted to come in to get it checked out.",patient
"OK when you say it's looking strange, can you tell me what you mean by that?",doctor
"Swollen, it looks bigger than it did before, and meaner, if that makes sense.",patient
"Swollen OK, is it red?",doctor
"Yeah, it's red, it's turning more red, kind of in the area around it. I've got these I got these scabs. I've got diabetes and I'm not exactly the best with it and scratching at it, and normally it's not that bad, but this is just strange looking and there's no other word for it.",patient
"OK, have you ever had anything like this before? I guess you kinda just said that you didn't, but I'll just double check.",doctor
"No no. Well I've had,  I have occasional ulcers and sometimes I have banged my toe when I'm not exactly the best taking care of my feet, but this is the first time I've gotten something that I don't know, I've just never seen it before.",patient
Do you have any ulcers right now?,doctor
"Let me see. I think so, when's the last time I saw the family doc? I think I've got an ulcer on my left heel, but I think it's doing alright.",patient
"OK, and what leg are you having this problem with?",doctor
"Right now it's on my right, so my ankle.",patient
"OK, how have your sugars been controlled recently?",doctor
"I stopped measuring them. Yeah, last time I measured it was pretty bad. I think my A1C last time was like 9 something. I'm trying, I'm trying better to be with it. It's hard with work you know?",patient
"For sure, I can imagine so, in general, even if you don't know your numbers for your sugars, have you felt worse than usual lately? Have you felt rundown at all?",doctor
"Yeah, actually I have gained more, feel hungry, sometimes just tired, but it's hard to tell. There's an awful lot going on in my life right now with the kids, but, It's hard to tell I think. Yeah, I need to see my family doc.",patient
"OK. Definitely you know a good a good idea moving forward just to make sure you get on top of these things, but I'm glad you came in today so we can, you know, have a better look at you and make sure that there's nothing super concerning going on. So in addition to this, have you had any other new symptoms?",doctor
"Symptoms? Um, I feel a little hot actually. When the swelling started it's it also started leaking this like white stuff from one of the one of what used to be a scab so now like kind of an open wound now.",patient
"OK, OK so when did you start feeling hot?",doctor
"Honestly, last 12 hours.",patient
"OK, you take your temperature at all?",doctor
"No, I don't have a thermometer at home.",patient
Have you had any difficulty breathing?,doctor
No no.,patient
Any chest pain?,doctor
No.,patient
"Have you noticed that your left, sorry, your right leg feels any hotter than the left?",doctor
"Yeah, yeah it does. Actually changing socks the other day, yeah.",patient
"Right. Say, have you alone have you felt ill recently? Have you been sick at all?",doctor
"Aside from just feeling overall crummy last couple weeks, no don't really, less energy today, but I was up last night thinking about this and yeah wanted to come in and talk.",patient
"OK yeah, you did the right thing. I'm glad that you're in today. Is the pain on your legs worse when you touch it?",doctor
"Yeah, maybe not so much when I touch it. When I walk with it and I start flexing it it, it doesn't like that.",patient
"OK, uhm.",doctor
"Just resting it right now, it feels fine.",patient
"It's OK, OK. OK, well I'm going to if I think of any more questions specifically about your leg I will, I'll go back to it, but I'm going to just move on and ask you questions about your overall health. You've already shared with me that you you are diabetic. Do you have any other chronic conditions that you live with?",doctor
"Chronic condition? I see the family doc about cholesterol. I'm on a pill for that. Uhm, I had asthma as a kid, not too much of an issue now. And my back, I've had back pain for the last 10 years, but all I really take for it is Tylenol Advil for that.",patient
"OK, oh my other question about your leg was, have you lost any feeling in it?",doctor
"It kind of is like a dull ache sometimes when I touch it. But, no like,  in the area, the ankle no, but definitely on my feet, like over the years I've noticed I feel less on it compared to what I did previously, yeah.",patient
"OK, so sorry I kind of sidetracked there so we talked about your diabetes. You said you have high cholesterol. So what medications are you currently taking?",doctor
"I'm taking 4 pills right now. One of them is for the cholesterol. I think it's called. rosuvastatin. The other three, they're all diabetes medications, but I don't remember. Metformin is one of them. Sidas...something I have a list somewhere. I'll give it to you later.",patient
"OK, are you on insulin right now?",doctor
No.,patient
"Are you on any or any of these medications new to you, recently?",doctor
"No no, but had them for about a year now.",patient
Do you have any allergies?,doctor
"Um, yeah, I do actually. Penicillin, can't take that.",patient
And what happens when you take penicillin?,doctor
"It's been a while, as a kid apparently like my face got bloated and I was having a hard time breathing so...",patient
"Well, we will make sure that we don't give you that. Can you tell me if you've had any previous surgery?",doctor
"Oh yeah, uh, what was it? I had my sinuses, had some pretty bad sinusitis when I was in my teens and they went in and kind of carved a little space out.",patient
"OK, OK. Is that the only surgery that you had?",doctor
Yeah.,patient
"And can you tell me, do you have any family history of diabetes, skin problems, anything else that stands out to you?",doctor
